sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,sequenceType,virus_clean,matched_virus,original_name,accession_number,country,eventDate,species,host_genus,gbif_id,coordinate_resolution,decimalLatitude,decimalLongitude,n_assayed,n_positive,n_negative,version
12,david_132,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929075,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119.0,country,36.204,138.252,2.0,1.0,1.0,v2
13,david_133,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929076,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119.0,country,36.204,138.252,3.0,2.0,1.0,v2
14,david_132,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929077,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119.0,country,36.204,138.252,2.0,1.0,1.0,v2
15,david_132,david_113,david_6,Pathogen,Orthohantavirus asamaense,Orthohantavirus asamaense,Asama virus,EU929078,Japan,2006-10-01/2008-04-30,Urotrichus talpoides,Urotrichus,2436119.0,country,36.204,138.252,2.0,1.0,1.0,v2
16,david_134,david_114,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172504,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.11002,127.07705,520.0,121.0,399.0,v2
17,david_134,david_114,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172505,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.11002,127.07705,520.0,121.0,399.0,v2
18,david_134,david_114,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172506,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.11002,127.07705,520.0,121.0,399.0,v2
19,david_134,david_114,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172507,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.11002,127.07705,520.0,121.0,399.0,v2
20,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172508,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
21,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172509,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
22,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172510,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
23,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172511,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
24,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172512,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
25,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172513,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
26,david_143,david_123,david_7,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan virus,HM172514,Republic of Korea,2001-05-01/2005-12-31,Apodemus agrarius,Apodemus,2437761.0,study region,38.051592,127.1069191,647.0,94.0,553.0,v2
27,david_299,david_192,david_9,Pathogen,Mammarenavirus lassaense,Mammarenavirus lassaense,Lassa mammarenavirus,MW039388,Sierra Leone,2014-04-01/2016-02-29,Mastomys natalensis,Mastomys,2438911.0,study village,7.762217,-11.742564,100.0,1.0,99.0,v2
28,david_331,david_224,david_9,Pathogen,Mammarenavirus lassaense,Mammarenavirus lassaense,Lassa mammarenavirus,MW039389,Sierra Leone,2014-04-01/2016-02-29,Mastomys natalensis,Mastomys,2438911.0,study village,7.973069,-11.3957,51.0,3.0,48.0,v2
29,david_331,david_224,david_9,Pathogen,Mammarenavirus lassaense,Mammarenavirus lassaense,Lassa mammarenavirus,MW039390,Sierra Leone,2014-04-01/2016-02-29,Mastomys natalensis,Mastomys,2438911.0,study village,7.973069,-11.3957,51.0,3.0,48.0,v2
30,david_331,david_224,david_9,Pathogen,Mammarenavirus lassaense,Mammarenavirus lassaense,Lassa mammarenavirus,MW039391,Sierra Leone,2014-04-01/2016-02-29,Mastomys natalensis,Mastomys,2438911.0,study village,7.973069,-11.3957,51.0,3.0,48.0,v2
35,david_1555,david_1836,david_13,Pathogen,Orthohantavirus,RtNn-HV/HuN2015,RtNn-HV/HuN2015,KY370078,China,3/2015,Niviventer confucianus,Niviventer,2439057.0,state,28.11,112.98,19.0,2.0,17.0,v2
36,david_1650,david_1566,david_13,Pathogen,Orthohantavirus,RtAp-HV/JL2014,RtAp-HV/JL2014,KY370079,China,08/2014,Apodemus peninsulae,Apodemus,5219734.0,state,43.7,126.2,22.0,1.0,21.0,v2
37,david_1834,david_1962,david_13,Pathogen,Orthohantavirus,RtCe-HV/NX2015,RtCe-HV/NX2015,KY370080,China,4/2015,Caryomys eva,Caryomys,4265055.0,state,37.0,106.0,22.0,2.0,20.0,v2
38,david_1965,david_1946,david_13,Pathogen,Orthohantavirus,RtNn-HV/NX2015,RtNn-HV/NX2015,KY370081,China,4/2015,Niviventer confucianus,Niviventer,2439057.0,state,37.0,106.0,5.0,1.0,4.0,v2
39,david_2054,david_1575,david_13,Pathogen,Orthohantavirus,RtMrut-HV/JL2014,RtMrut-HV/JL2014,KY370082,China,08/2014,Myodes rutilus,Myodes,5706762.0,state,43.7,126.2,14.0,2.0,12.0,v2
40,david_2243,david_2056,david_13,Pathogen,Orthohantavirus,RtNn-HV/SAX2015,RtNn-HV/SAX2015,KY370083,China,6/2015,Niviventer confucianus,Niviventer,2439057.0,state,35.6,108.4,50.0,2.0,48.0,v2
41,david_2307,david_1430,david_13,Pathogen,Orthohantavirus,RtDs-HV/IM2014,RtDs-HV/IM2014,KY370084,China,05/2014,Dipus sagitta,Dipus,2439463.0,state,44.0,113.0,26.0,2.0,24.0,v2
42,david_2529,david_2189,david_13,Pathogen,Orthohantavirus,RtMg-HV/XJ2015,RtMg-HV/XJ2015,KY370085,China,9/2015,Microtus gregalis,Microtus,2438648.0,state,41.0,85.0,44.0,2.0,42.0,v2
43,david_2603,david_1659,david_13,Pathogen,Orthohantavirus,Shrew-HV/Tibet2014,Shrew-HV/Tibet2014,KY370086,China,12/2014,Sorex araneus,Sorex,8316400.0,state,31.0,89.0,50.0,3.0,47.0,v2
44,david_2747,david_1714,david_13,Pathogen,Orthohantavirus,Shrew-HV/SX2014,Shrew-HV/SX2014,KY370087,China,12/2014,Sorex araneus,Sorex,8316400.0,state,37.7,112.4,11.0,1.0,10.0,v2
45,david_2943,david_2239,david_13,Pathogen,Orthohantavirus,RtCl-HV/GZ2015,RtCl-HV/GZ2015,KY370088,China,12/2015,Eothenomys melanogaster,Eothenomys,2438894.0,state,26.8,106.8,39.0,5.0,34.0,v2
46,david_3033,david_1881,david_13,Pathogen,Orthohantavirus,RtRn-HV/GD2015,RtRn-HV/GD2015,KY370089,China,1/2015,Rattus norvegicus,Rattus,2439261.0,state,23.4,113.5,17.0,4.0,13.0,v2
47,david_3228,david_2392,david_13,Pathogen,Orthohantavirus,RtAa-HV/SD2016,RtAa-HV/SD2016,KY370090,China,7/2016,Apodemus agrarius,Apodemus,2437761.0,state,36.4,118.4,127.0,5.0,122.0,v2
48,david_3234,david_1336,david_13,Pathogen,Orthohantavirus,RtMc-AreV/YN2014,RtMc-AreV/YN2014,KM020190,China,07/2013,Mus caroli,Mus,2438800.0,state,25.0494,102.7089,29.0,3.0,26.0,v2
49,david_3234,david_1336,david_13,Pathogen,Orthohantavirus,RtMc-AreV/YN2014,RtMc-AreV/YN2014,KM020191,China,07/2013,Mus caroli,Mus,2438800.0,state,25.0494,102.7089,29.0,3.0,26.0,v2
50,david_3366,david_1332,david_13,Pathogen,Orthohantavirus,RtRf-AreV/YN2014,RtRf-AreV/YN2014,KY432889,China,07/2013,Rattus tanezumi,Rattus,2439262.0,state,25.0494,102.7089,96.0,3.0,93.0,v2
51,david_3366,david_1332,david_13,Pathogen,Orthohantavirus,RtRf-AreV/YN2014,RtRf-AreV/YN2014,KY432890,China,07/2013,Rattus tanezumi,Rattus,2439262.0,state,25.0494,102.7089,96.0,3.0,93.0,v2
52,david_3499,david_1331,david_13,Pathogen,Orthohantavirus,RtRn-AreV/YN2014,RtRn-AreV/YN2014,KY432891,China,07/2013,Rattus norvegicus,Rattus,2439261.0,state,25.0494,102.7089,48.0,5.0,43.0,v2
53,david_3647,david_1430,david_13,Pathogen,Orthohantavirus,RtDs-AreV/IM2014,RtDs-AreV/IM2014,KY432892,China,05/2014,Dipus sagitta,Dipus,2439463.0,state,44.0,113.0,26.0,3.0,23.0,v2
54,david_3647,david_1430,david_13,Pathogen,Orthohantavirus,RtDs-AreV/IM2014,RtDs-AreV/IM2014,KY432893,China,05/2014,Dipus sagitta,Dipus,2439463.0,state,44.0,113.0,26.0,3.0,23.0,v2
55,david_3831,david_1830,david_13,Pathogen,Orthohantavirus,RtRl-AreV/HuN2015,RtRl-AreV/HuN2015,KY432894,China,3/2015,Rattus losea,Rattus,2439258.0,state,28.11,112.98,9.0,1.0,8.0,v2
56,david_3831,david_1830,david_13,Pathogen,Orthohantavirus,RtRl-AreV/HuN2015,RtRl-AreV/HuN2015,KY432895,China,3/2015,Rattus losea,Rattus,2439258.0,state,28.11,112.98,9.0,1.0,8.0,v2
57,david_4023,david_2321,david_13,Pathogen,Orthohantavirus,RtRn-AreV/ZJ2016,RtRn-AreV/ZJ2016,KY432896,China,6/2016,Rattus norvegicus,Rattus,2439261.0,state,29.2,120.5,48.0,4.0,44.0,v2
58,david_4023,david_2321,david_13,Pathogen,Orthohantavirus,RtRn-AreV/ZJ2016,RtRn-AreV/ZJ2016,KY432897,China,6/2016,Rattus norvegicus,Rattus,2439261.0,state,29.2,120.5,48.0,4.0,44.0,v2
59,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN3973M589),MZ343363,,,,,,,,,34.0,2.0,32.0,v2
60,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN3973M589),MZ343364,,,,,,,,,34.0,2.0,32.0,v2
61,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN3973M589),MZ343365,,,,,,,,,34.0,2.0,32.0,v2
64,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN4004M620),MZ343366,,,,,,,,,34.0,2.0,32.0,v2
65,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN4004M620),MZ343367,,,,,,,,,34.0,2.0,32.0,v2
66,david_4183,,david_15,Pathogen,Orthohantavirus hantanense,Orthohantavirus hantanense,Hantaan orthohantavirus (VN4004M620),MZ343368,,,,,,,,,34.0,2.0,32.0,v2
69,david_4272,,david_15,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand orthohantavirus (MDG3887MG9),MZ343360,,,,,,,,,8.0,1.0,7.0,v2
70,david_4272,,david_15,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand orthohantavirus (MDG3887MG9),MZ343361,,,,,,,,,8.0,1.0,7.0,v2
71,david_4272,,david_15,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand orthohantavirus (MDG3887MG9),MZ343362,,,,,,,,,8.0,1.0,7.0,v2
74,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3011KTF49),MZ343341,,,,,,,,,83.0,9.0,74.0,v2
75,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3011KTF49),MZ505035,,,,,,,,,83.0,9.0,74.0,v2
76,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3011KTF49),MZ343342,,,,,,,,,83.0,9.0,74.0,v2
79,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3028KTF66),MZ343343,,,,,,,,,83.0,9.0,74.0,v2
80,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3028KTF66),MZ505036,,,,,,,,,83.0,9.0,74.0,v2
81,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3028KTF66),MZ343344,,,,,,,,,83.0,9.0,74.0,v2
84,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3120KTF116),MZ343345,,,,,,,,,83.0,9.0,74.0,v2
85,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3120KTF116),MZ343346,,,,,,,,,83.0,9.0,74.0,v2
88,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA3122KTF118),MZ343347,,,,,,,,,83.0,9.0,74.0,v2
91,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA4032KTF597),MZ343348,,,,,,,,,83.0,9.0,74.0,v2
92,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA4032KTF597),MZ343349,,,,,,,,,83.0,9.0,74.0,v2
95,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA4277KTF-637),MZ505037,,,,,,,,,83.0,9.0,74.0,v2
96,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA4277KTF-637),MZ343350,,,,,,,,,83.0,9.0,74.0,v2
99,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5171KTF862),MZ343351,,,,,,,,,83.0,9.0,74.0,v2
100,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5171KTF862),MZ343352,,,,,,,,,83.0,9.0,74.0,v2
103,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5277KTF945),MZ343355,,,,,,,,,83.0,9.0,74.0,v2
104,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5277KTF945),MZ343356,,,,,,,,,83.0,9.0,74.0,v2
107,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA6551KTF153),MZ343357,,,,,,,,,83.0,9.0,74.0,v2
108,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA6551KTF153),MZ505038,,,,,,,,,83.0,9.0,74.0,v2
109,david_4381,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA6551KTF153),MZ343358,,,,,,,,,83.0,9.0,74.0,v2
112,david_4356,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (UA1818B74),MZ343339,,,,,,,,,189.0,2.0,187.0,v2
113,david_4356,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (UA1818B74),MZ505034,,,,,,,,,189.0,2.0,187.0,v2
114,david_4356,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (UA1818B74),MZ343340,,,,,,,,,189.0,2.0,187.0,v2
117,david_4356,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA6557KTF159),MZ343359,,,,,,,,,189.0,2.0,187.0,v2
120,david_4355,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5274KTF935),MZ343353,,,,,,,,,168.0,1.0,167.0,v2
121,david_4355,,david_15,Pathogen,Orthohantavirus puumalaense,Orthohantavirus puumalaense,Puumala orthohantavirus (JA5274KTF935),MZ343354,,,,,,,,,168.0,1.0,167.0,v2
124,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116262,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
125,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116254,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
126,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116255,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
127,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116263,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
128,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116256,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
129,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116264,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
130,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116257,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
131,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116265,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
132,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116258,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
133,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116266,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
134,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116259,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
135,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116767,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
136,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116260,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
137,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116268,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
138,david_5891,david_3705,david_17,Pathogen,Orthohantavirus thailandense,Orthohantavirus thailandense,Thailand hantavirus,JN116261,Thailand,,Bandicota indica,Bandicota,2437729.0,locality,18.6845,100.8,8.0,8.0,0.0,v2
139,david_5892,david_3700,david_17,Pathogen,Orthohantavirus seoulense,Orthohantavirus seoulense,Seoul hantavirus,HQ992815,Lao PDR,,Rattus tanezumi,Rattus,2439262.0,locality,20.0333,102.0833,1.0,1.0,0.0,v2
140,david_5892,david_3700,david_17,Pathogen,Orthohantavirus seoulense,Orthohantavirus seoulense,Seoul hantavirus,HQ992814,Lao PDR,,Rattus tanezumi,Rattus,2439262.0,locality,20.0333,102.0833,1.0,1.0,0.0,v2
141,david_5893,david_3825,david_17,Pathogen,Orthohantavirus seoulense,Orthohantavirus seoulense,Seoul hantavirus,JN116270,Cambodia,,Rattus norvegicus,Rattus,2439261.0,locality,11.55,104.9167,1.0,1.0,0.0,v2
142,david_5893,david_3825,david_17,Pathogen,Orthohantavirus seoulense,Orthohantavirus seoulense,Seoul hantavirus,JN116269,Cambodia,,Rattus norvegicus,Rattus,2439261.0,locality,11.55,104.9167,1.0,1.0,0.0,v2
143,david_6421,david_4036,david_19,Pathogen,Mammarenavirus bituense,Mammarenavirus bituense,Bitu virus,MZ065536,Angola,,Micaelamys namaquensis,Micaelamys,4264922.0,VerbatimLocality,-14.811,13.404,20.0,8.0,12.0,v2
144,david_6421,david_4036,david_19,Pathogen,Mammarenavirus bituense,Mammarenavirus bituense,Bitu virus,MZ065537,Angola,,Micaelamys namaquensis,Micaelamys,4264922.0,VerbatimLocality,-14.811,13.404,20.0,8.0,12.0,v2
146,david_6422,david_4037,david_19,Pathogen,Mammarenavirus bituense,Mammarenavirus bituense,Bitu virus,MZ065538,Angola,,Micaelamys namaquensis,Micaelamys,4264922.0,VerbatimLocality,-14.818,13.412,17.0,7.0,10.0,v2
147,david_6422,david_4037,david_19,Pathogen,Mammarenavirus bituense,Mammarenavirus bituense,Bitu virus,MZ065539,Angola,,Micaelamys namaquensis,Micaelamys,4264922.0,VerbatimLocality,-14.818,13.412,17.0,7.0,10.0,v2
149,david_6411,david_4026,david_19,Pathogen,Mammarenavirus lunaense,Mammarenavirus lunaense,Mammarenavirus lunaense,MZ065542,Angola,,Mastomys natalensis,Mastomys,2438911.0,VerbatimLocality,-15.101,14.84,9.0,1.0,8.0,v2
150,david_6411,david_4026,david_19,Pathogen,Mammarenavirus lunaense,Mammarenavirus lunaense,Mammarenavirus lunaense,MZ065543,Angola,,Mastomys natalensis,Mastomys,2438911.0,VerbatimLocality,-15.101,14.84,9.0,1.0,8.0,v2
152,david_6488,david_4103,david_19,Pathogen,Mammarenavirus kwanzaense,Mammarenavirus kwanzaense,Kwanza virus,MZ065540,Angola,,Mus triton,Mus,2438784.0,VerbatimLocality,-11.911,14.875,6.0,2.0,4.0,v2
153,david_6488,david_4103,david_19,Pathogen,Mammarenavirus kwanzaense,Mammarenavirus kwanzaense,Kwanza virus,MZ065541,Angola,,Mus triton,Mus,2438784.0,VerbatimLocality,-11.911,14.875,6.0,2.0,4.0,v2
155,david_6587,david_4202,david_21,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dubrova-Belgrade orthohantavirus,MT580922,Lithuania,2016,Apodemus agrarius,Apodemus,2437761.0,village,56.002,24.6288,1.0,1.0,0.0,v2
156,david_6587,david_4202,david_21,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dubrova-Belgrade orthohantavirus,OK422867,Lithuania,2016,Apodemus agrarius,Apodemus,2437761.0,village,56.002,24.6288,1.0,1.0,0.0,v2
157,david_6587,david_4202,david_21,Pathogen,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Dubrova-Belgrade orthohantavirus,OK422869,Lithuania,2016,Apodemus agrarius,Apodemus,2437761.0,village,56.002,24.6288,1.0,1.0,0.0,v2
