pathogen_record_id	rodent_record_id	species	accession
27106	19370	Microtus arvalis	MT272864
27106	19370	Microtus arvalis	MT272912
27106	19370	Microtus arvalis	MT272951
27106	19370	Microtus arvalis	MT272865
27106	19370	Microtus arvalis	MT272866
27106	19370	Microtus arvalis	MT272913
26948	19307	Microtus arvalis	MT272867
26948	19307	Microtus arvalis	MT272914
26948	19307	Microtus arvalis	MT272952
26968	19315	Microtus arvalis	MT272868
26968	19315	Microtus arvalis	MT272953
26968	19315	Microtus arvalis	MT272869
26968	19315	Microtus arvalis	MT272915
26968	19315	Microtus arvalis	MT272954
26948	19307	Microtus arvalis	MT272870
26948	19307	Microtus arvalis	MT272916
26948	19307	Microtus arvalis	MT272871
26948	19307	Microtus arvalis	MT272917
26948	19307	Microtus arvalis	MT272955
26948	19307	Microtus arvalis	MT272872
26948	19307	Microtus arvalis	MT272918
26948	19307	Microtus arvalis	MT272956
26948	19307	Microtus arvalis	MT272873
26948	19307	Microtus arvalis	MT272919
26948	19307	Microtus arvalis	MT272957
26968	19315	Microtus arvalis	MT272874
26968	19315	Microtus arvalis	MT272938
27028	19339	Microtus arvalis	MT272875
27028	19339	Microtus arvalis	MT272959
27008	19331	Microtus arvalis	MT272876
27008	19331	Microtus arvalis	MT272960
27008	19331	Microtus arvalis	MT272877
27008	19331	Microtus arvalis	MT272920
27008	19331	Microtus arvalis	MT272961
27028	19339	Microtus arvalis	MT272878
27028	19339	Microtus arvalis	MT272962
27028	19339	Microtus arvalis	MT272879
27028	19339	Microtus arvalis	MT272963
27028	19339	Microtus arvalis	MT272880
27028	19339	Microtus arvalis	MT272921
27028	19339	Microtus arvalis	MT272964
27028	19339	Microtus arvalis	MT272881
27028	19339	Microtus arvalis	MT272922
27028	19339	Microtus arvalis	MT272965
27028	19339	Microtus arvalis	MT272882
27028	19339	Microtus arvalis	MT272923
27028	19339	Microtus arvalis	MT272966
27028	19339	Microtus arvalis	MT272883
27028	19339	Microtus arvalis	MT272924
27028	19339	Microtus arvalis	MT272967
27028	19339	Microtus arvalis	MT272884
27028	19339	Microtus arvalis	MT272925
27028	19339	Microtus arvalis	MT272968
27028	19339	Microtus arvalis	MT272885
27028	19339	Microtus arvalis	MT272926
27028	19339	Microtus arvalis	MT272969
27028	19339	Microtus arvalis	MT272886
27028	19339	Microtus arvalis	MT272970
27068	19355	Microtus arvalis	MT272887
27068	19355	Microtus arvalis	MT272888
27068	19355	Microtus arvalis	MT272870
