sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,sequenceType,scientificName,accession_number,method,note,date_sampled,sample_location
79,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3028KTF66),MZ343343,NA,NA,NA,NA
80,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3028KTF66),MZ505036,NA,NA,NA,NA
81,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3028KTF66),MZ343344,NA,NA,NA,NA
82,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356199,NA,NA,NA,NA
83,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356211,NA,NA,NA,NA
84,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3120KTF116),MZ343345,NA,NA,NA,NA
85,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3120KTF116),MZ343346,NA,NA,NA,NA
86,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356200,NA,NA,NA,NA
87,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356212,NA,NA,NA,NA
88,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA3122KTF118),MZ343347,NA,NA,NA,NA
89,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356201,NA,NA,NA,NA
90,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356213,NA,NA,NA,NA
91,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA4032KTF597),MZ343348,NA,NA,NA,NA
92,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA4032KTF597),MZ343349,NA,NA,NA,NA
93,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356202,NA,NA,NA,NA
94,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356214,NA,NA,NA,NA
95,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA4277KTF-637),MZ505037,NA,NA,NA,NA
96,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA4277KTF-637),MZ343350,NA,NA,NA,NA
97,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356203,NA,NA,NA,NA
98,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356215,NA,NA,NA,NA
99,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA5171KTF862),MZ343351,NA,NA,NA,NA
100,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA5171KTF862),MZ343352,NA,NA,NA,NA
101,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356204,NA,NA,NA,NA
102,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356216,NA,NA,NA,NA
103,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA5277KTF945),MZ343355,NA,NA,NA,NA
104,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA5277KTF945),MZ343356,NA,NA,NA,NA
105,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356205,NA,NA,NA,NA
106,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356217,NA,NA,NA,NA
107,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA6551KTF153),MZ343357,NA,NA,NA,NA
108,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA6551KTF153),MZ505038,NA,NA,NA,NA
109,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Pathogen,Puumala orthohantavirus (JA6551KTF153),MZ343358,NA,NA,NA,NA
110,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356206,NA,NA,NA,NA
111,4381,NA,15,Myodes,Myodes rufocanus bedfordiae,Host,NA,MZ356218,NA,NA,NA,NA
112,4356,NA,15,Apodemus,Apodemus speciousus,Pathogen,Puumala orthohantavirus (UA1818B74),MZ343339,NA,NA,NA,NA
113,4356,NA,15,Apodemus,Apodemus speciousus,Pathogen,Puumala orthohantavirus (UA1818B74),MZ505034,NA,NA,NA,NA
114,4356,NA,15,Apodemus,Apodemus speciousus,Pathogen,Puumala orthohantavirus (UA1818B74),MZ343340,NA,NA,NA,NA
115,4356,NA,15,Apodemus,Apodemus speciousus,Host,NA,MK410319,NA,NA,NA,NA
116,4356,NA,15,Apodemus,Apodemus speciousus,Host,NA,MK410366,NA,NA,NA,NA
117,4356,NA,15,Apodemus,Apodemus speciousus,Pathogen,Puumala orthohantavirus (JA6557KTF159),MZ343359,NA,NA,NA,NA
118,4356,NA,15,Apodemus,Apodemus speciousus,Host,NA,MZ356207,NA,NA,NA,NA
119,4356,NA,15,Apodemus,Apodemus speciousus,Host,NA,MZ356219,NA,NA,NA,NA
120,4355,NA,15,Apodemus,Apodemus agenteus,Pathogen,Puumala orthohantavirus (JA5274KTF935),MZ343353,NA,NA,NA,NA
121,4355,NA,15,Apodemus,Apodemus agenteus,Pathogen,Puumala orthohantavirus (JA5274KTF935),MZ343354,NA,NA,NA,NA
122,4355,NA,15,Apodemus,Apodemus agenteus,Host,NA,MK410343,NA,NA,NA,NA
123,4355,NA,15,Apodemus,Apodemus agenteus,Host,NA,MK410423,NA,NA,NA,NA
124,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116262,NA,NA,NA,NA
125,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116254,NA,NA,NA,NA
126,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116255,NA,NA,NA,NA
127,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116263,NA,NA,NA,NA
128,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116256,NA,NA,NA,NA
129,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116264,NA,NA,NA,NA
130,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116257,NA,NA,NA,NA
131,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116265,NA,NA,NA,NA
132,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116258,NA,NA,NA,NA
133,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116266,NA,NA,NA,NA
134,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116259,NA,NA,NA,NA
135,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116767,NA,NA,NA,NA
136,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116260,NA,NA,NA,NA
137,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116268,NA,NA,NA,NA
138,5891,3705,17,Bandicota,Bandicota indica,Pathogen,Thailand hantavirus,JN116261,NA,NA,NA,NA
139,5892,3700,17,Rattus,Rattus tanezumi,Pathogen,Seoul hantavirus,HQ992815,NA,NA,NA,NA
140,5892,3700,17,Rattus,Rattus tanezumi,Pathogen,Seoul hantavirus,HQ992814,NA,NA,NA,NA
141,5893,3825,17,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,JN116270,NA,NA,NA,NA
142,5893,3825,17,Rattus,Rattus norvegicus,Pathogen,Seoul hantavirus,JN116269,NA,NA,NA,NA
143,6421,4036,19,Micaelamys,Micaelamys namaquensis,Pathogen,Bitu virus,MZ065536,NA,NA,NA,NA
144,6421,4036,19,Micaelamys,Micaelamys namaquensis,Pathogen,Bitu virus,MZ065537,NA,NA,NA,NA
145,NA,4036,19,Micaelamys,Micaelamys namaquensis,Host,NA,MZ065491,NA,NA,NA,NA
146,6422,4037,19,Micaelamys,Micaelamys namaquensis,Pathogen,Bitu virus,MZ065538,NA,NA,NA,NA
147,6422,4037,19,Micaelamys,Micaelamys namaquensis,Pathogen,Bitu virus,MZ065539,NA,NA,NA,NA
148,NA,4037,19,Micaelamys,Micaelamys namaquensis,Host,NA,MZ065491,NA,NA,NA,NA
149,6411,4026,19,Mastomys,Mastomys natalensis,Pathogen,Mammarenavirus lunaense,MZ065542,NA,NA,NA,NA
150,6411,4026,19,Mastomys,Mastomys natalensis,Pathogen,Mammarenavirus lunaense,MZ065543,NA,NA,NA,NA
151,NA,4026,19,Mastomys,Mastomys natalensis,Host,NA,MZ065496,NA,NA,NA,NA
152,6488,4103,19,Mus,Mus triton,Pathogen,Kwanza virus,MZ065540,NA,NA,NA,NA
153,6488,4103,19,Mus,Mus triton,Pathogen,Kwanza virus,MZ065541,NA,NA,NA,NA
154,NA,NA,19,Mus,Mus triton,Host,NA,MK011523,NA,NA,NA,NA
155,6587,4202,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580922,NA,NA,NA,NA
156,6587,4202,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,OK422867,NA,NA,NA,NA
157,6587,4202,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,OK422869,NA,NA,NA,NA
158,6686,4301,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580919,NA,NA,NA,NA
159,6686,4301,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580916,NA,NA,NA,NA
160,6686,4301,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,OK422871,NA,NA,NA,NA
161,6686,4301,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580920,NA,NA,NA,NA
162,6740,4355,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
163,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
164,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
165,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
166,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580910,NA,NA,NA,NA
167,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
168,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
169,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
170,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580913,NA,NA,NA,NA
171,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
172,6749,4364,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
173,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,NA,NA,NA
174,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580914,NA,NA,NA,NA
175,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580911,NA,NA,NA,NA
176,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
177,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
178,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580927,NA,NA,NA,NA
179,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
180,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580927,NA,identical to this accession number,NA,NA
181,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
182,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580918,NA,identical to this accession number,NA,NA
183,6758,4373,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580927,NA,identical to this accession number,NA,NA
184,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580921,NA,NA,NA,NA
185,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,OK422868,NA,NA,NA,NA
186,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,OK422870,NA,NA,NA,NA
187,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580931,NA,NA,NA,NA
188,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580912,NA,NA,NA,NA
189,6794,4409,21,Apodemus,Apodemus agrarius,Pathogen,Dubrova-Belgrade orthohantavirus,MT580932,NA,NA,NA,NA
190,7205,4262,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580938,NA,NA,NA,NA
191,7205,4262,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,OL355108,NA,NA,NA,NA
192,7205,4262,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580937,NA,NA,NA,NA
193,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580939,NA,identical to this accession number,NA,NA
194,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580939,NA,identical to this accession number,NA,NA
195,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580939,NA,NA,NA,NA
196,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580936,NA,NA,NA,NA
197,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580939,NA,identical to this accession number,NA,NA
198,7259,4316,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580939,NA,identical to this accession number,NA,NA
199,7268,4325,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,MT580940,NA,NA,NA,NA
200,7268,4325,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,OL355109,NA,NA,NA,NA
201,7268,4325,21,Microtus,Microtus arvalis,Pathogen,Tula orthohantavirus,OL355110,NA,NA,NA,NA
202,6878,4214,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT580935,NA,NA,NA,NA
203,6878,4214,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT580933,NA,NA,NA,NA
204,6878,4214,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,OL355110,NA,NA,NA,NA
205,6968,4304,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT580934,NA,identical to this accession number,NA,NA
206,6968,4304,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT580934,NA,identical to this accession number,NA,NA
207,6968,4304,21,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT580934,NA,NA,NA,NA
208,7775,4557,24,Grammomys,Grammomys macmillani,Pathogen,Kitale virus,MK935152,NA,NA,NA,NA
209,7775,4557,24,Grammomys,Grammomys macmillani,Pathogen,Kitale virus,MK935153,NA,NA,NA,NA
210,7971,4735,27,Akodon,Akodon montensis,Pathogen,Jabora virus,MG575411,NA,NA,NA,NA
211,8297,5061,27,Oligoryzomys,Oligoryzomys nigripes,Pathogen,Juquitiba virus,MG575412,NA,NA,NA,NA
212,8264,5028,27,Oligoryzomys,Oligoryzomys nigripes,Pathogen,Juquitiba virus,MG575413,NA,NA,NA,NA
213,8295,5059,27,Oligoryzomys,Oligoryzomys nigripes,Pathogen,Juquitiba virus,MG575414,NA,NA,NA,NA
214,8181,4945,27,Akodon,Akodon montensis,Pathogen,Jabora virus,MG575415,NA,NA,NA,NA
215,9207,5097,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453649,NA,NA,NA,NA
216,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453554,NA,NA,NA,NA
217,9207,5097,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453660,NA,NA,NA,NA
218,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453555,NA,NA,NA,NA
219,9205,5095,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453585,NA,NA,NA,NA
220,9207,5097,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453651,NA,NA,NA,NA
221,9207,5097,28,Clethrionomys,Clethrionomys glareolus,Pathogen,Puumala orthohantavirus,MT453648,NA,NA,NA,NA
